,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,
,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total
Metadata Indikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama,Jumlah Penduduk Berumur 5 Tahun ke Atas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definisi,Banyaknya penduduk berumur 5 tahun ke atas di suatu wilayah pada suatu waktu tertentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satuan,Jiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manfaat,Sebagai dasar perencanaan pembangunan di berbagai bidang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpretasi,Semakin tinggi angka semakin banyak jumlah penduduk yang berumur 5 tahun ke atas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekanisme perhitungan,Penjumlahan dari setiap individu berumur 5 tahun ke atas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumus,"\(P_{5+}=\\sum_{j=1}^{N}p_j\)  Keterangan :\(P_{\\left\\{5+\\right\\}}\) : Jumlah penduduk berumur 5 tahun ke atas  \(p_j=1\) : jika individu merupakan penduduk berumur 5 tahun ke atas  \(j\) : 1, …, N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disaggregasi,"Wilayah, Jenis Kelamin, Kelompok Umur, Daerah Perkotaan/Perdesaan, Tingkat Pendidikan Tertinggi yang Ditamatkan, Penggunaan Bahasa Daerah untuk Berkomunikasi Sehari-hari dengan Tetangga dan Warga Masyarakat, Penggunaan Bahasa Daerah untuk Berkomunikasi Sehari-hari dalam Keluarga, Bahasa yang Pertama Kali Dikuasai, Kemampuan Berbahasa Indonesia, Status Komuter, Status Migrasi Risen, Tingkat Kesulitan Mengurus Diri Sendiri, Tingkat Gangguan Perilaku dan/atau Emosional, Tingkat Kesulitan Berpikir/Belajar, Tingkat Kesulitan Mengingat/Berkonsentrasi, Tingkat Kesulitan Menggunakan Jari dan Tangan, Tingkat Kesulitan Berjalan atau Naik Tangga, Tingkat Kesulitan Memahami atau Dipahami Orang Lain ketika Berbicara, Tingkat Kesulitan Mendengar, Tingkat Kesulitan Melihat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frekuensi update,Lebih dari Dua Tahunan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
